Name,Category,Mention Count,Sample Files
Jeffrey Epstein,core,1371,EFTA00024875; EFTA00026428; EFTA00026703; EFTA00023813; EFTA00024265
Minute Provider,unknown,7,EFTA00034275; EFTA00035180; EFTA00034701; EFTA00035031; EFTA00033588
Value Location,unknown,7,EFTA00034275; EFTA00035180; EFTA00034701; EFTA00035031; EFTA00019348
"Cell
Office",unknown,7,EFTA00034660; EFTA00034113; EFTA00034115; EFTA00035352; EFTA00018981
Superseding Indictment,unknown,7,EFTA00035764; EFTA00032766; EFTA00013307; EFTA00028774; EFTA00027267
"Chambers
Sent",unknown,7,EFTA00016001; EFTA00016968; EFTA00011135; EFTA00009897; EFTA00010427
The Release,unknown,7,EFTA00015532; EFTA00018193; EFTA00010045; EFTA00010224; EFTA00011028
"Epstein
How",core,7,EFTA00014309; EFTA00014305; EFTA00014307; EFTA00015003; EFTA00018898
Judge Davis,unknown,7,EFTA00014192; EFTA00013508; EFTA00013749; EFTA00013698; EFTA00013521
Christine Maxwell,accomplice,7,EFTA00014393; EFTA00016726; EFTA00016394; EFTA00017736; EFTA00038136
"Maxwell
Attached",accomplice,7,EFTA00016457; EFTA00031958; EFTA00031962; EFTA00031954; EFTA00027430
"Maxwell
Thank",accomplice,7,EFTA00016457; EFTA00031958; EFTA00031962; EFTA00031954; EFTA00027430
Constitutional Provisions,unknown,7,EFTA00015303; EFTA00018997; EFTA00011452; EFTA00029077; EFTA00029100
Superior Performance,unknown,7,EFTA00038968; EFTA00038953; EFTA00038965; EFTA00038959; EFTA00038957
Litigation Team,unknown,7,EFTA00038968; EFTA00038953; EFTA00038965; EFTA00038959; EFTA00038957
"Hello
Was",unknown,7,EFTA00038764; EFTA00038745; EFTA00038735; EFTA00038793; EFTA00038828
Robbins Geller,unknown,7,EFTA00038652; EFTA00018860; EFTA00032583; EFTA00032317; EFTA00032562
Ref Arr,unknown,7,EFTA00038502; EFTA00010062; EFTA00010097; EFTA00010083; EFTA00010069
Professional Conduct,unknown,7,EFTA00018132; EFTA00018131; EFTA00032901; EFTA00032459; EFTA00013785
"Urgent
Okay",unknown,7,EFTA00018119; EFTA00018113; EFTA00018136; EFTA00032712; EFTA00029252
"Urgent
Looping",unknown,7,EFTA00018119; EFTA00018113; EFTA00018136; EFTA00018110; EFTA00029252
Group Inc,unknown,7,EFTA00018654; EFTA00032932; EFTA00032964; EFTA00032623; EFTA00032633
Paul Hastings,unknown,7,EFTA00018654; EFTA00032562; EFTA00032454; EFTA00032951; EFTA00032623
Andrews Kurth,political,7,EFTA00018860; EFTA00032317; EFTA00032454; EFTA00032349; EFTA00032303
Eliot Spitzer,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Million Boiler,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Spitzer Announce,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Defendants Indicted,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Attorney Lynch,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Room Stock,unknown,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
"Epstein
Black",core,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Trump Kushner,political,7,EFTA00011051; EFTA00010724; EFTA00010750; EFTA00010786; EFTA00010767
Hughes Hubbard,unknown,6,EFTA00026428; EFTA00024818; EFTA00020865; EFTA00021055; EFTA00032556
Jackson Lewis,unknown,6,EFTA00026428; EFTA00032951; EFTA00032691; EFTA00032893; EFTA00032947
Citigroup Inc,unknown,6,EFTA00026428; EFTA00025526; EFTA00025231; EFTA00018860; EFTA00032623
Facebook Inc,unknown,6,EFTA00026428; EFTA00019088; EFTA00032583; EFTA00032906; EFTA00032633
Renewed Motion,unknown,6,EFTA00024711; EFTA00016788; EFTA00018190; EFTA00017823; EFTA00018709
Professor Dershowitz,unknown,6,EFTA00026703; EFTA00011025; EFTA00013706; EFTA00013708; EFTA00013758
"Arts
Received",unknown,6,EFTA00025018; EFTA00025041; EFTA00023182; EFTA00032809; EFTA00028168
"Gary Bloxsome
Sent",unknown,6,EFTA00023813; EFTA00023783; EFTA00023791; EFTA00022201; EFTA00030798
Removal Hearing,unknown,6,EFTA00024542; EFTA00024527; EFTA00032025; EFTA00027845; EFTA00031868
"Database
Date",unknown,6,EFTA00023548; EFTA00023546; EFTA00021373; EFTA00019847; EFTA00028041
Maxwell Follow,accomplice,6,EFTA00026597; EFTA00027083; EFTA00027082; EFTA00021353; EFTA00038548
Subject RE,unknown,6,EFTA00024356; EFTA00026640; EFTA00025263; EFTA00016292; EFTA00017761
Message Pad,unknown,6,EFTA00023957; EFTA00024238; EFTA00023673; EFTA00023952; EFTA00026741
Tony Figuero,unknown,6,EFTA00023957; EFTA00023673; EFTA00023952; EFTA00026741; EFTA00032205
"To
Subject",unknown,6,EFTA00024507; EFTA00023349; EFTA00023417; EFTA00023012; EFTA00015850
"Normal
Epstein",core,6,EFTA00027045; EFTA00037824; EFTA00017888; EFTA00018158; EFTA00010249
Doniger I Kaplan,unknown,6,EFTA00025349; EFTA00025495; EFTA00025345; EFTA00014352; EFTA00019570
Production Index,unknown,6,EFTA00024413; EFTA00024410; EFTA00024419; EFTA00020181; EFTA00020108
Gerard Whidbee,unknown,6,EFTA00025378; EFTA00020991; EFTA00023127; EFTA00010292; EFTA00028062
"Sigrid McCawley
To",attorney,6,EFTA00025468; EFTA00025555; EFTA00014526; EFTA00017068; EFTA00032594
"Confidential
The",unknown,6,EFTA00024987; EFTA00024919; EFTA00024791; EFTA00011267; EFTA00010133
Local Rule,unknown,6,EFTA00027034; EFTA00024527; EFTA00023532; EFTA00015968; EFTA00011500
High Risk,unknown,6,EFTA00023756; EFTA00014482; EFTA00018300; EFTA00010956; EFTA00031733
"Nicole Simmons
Sent",unknown,6,EFTA00023748; EFTA00021030; EFTA00014710; EFTA00018748; EFTA00029180
Managing Partner,unknown,6,EFTA00024938; EFTA00022456; EFTA00022435; EFTA00023258; EFTA00020852
Government Opposition,unknown,6,EFTA00025062; EFTA00024174; EFTA00023462; EFTA00016218; EFTA00019057
"Epstein
Following",core,6,EFTA00024359; EFTA00024363; EFTA00020532; EFTA00023055; EFTA00019953
Senior Forensic,unknown,6,EFTA00025341; EFTA00023710; EFTA00015919; EFTA00020213; EFTA00029601
Jeff Jocks qocks,unknown,6,EFTA00024672; EFTA00023182; EFTA00019582; EFTA00032809; EFTA00028168
Spit Shft,unknown,6,EFTA00025420; EFTA00025406; EFTA00034275; EFTA00019798; EFTA00019790
"Ret
Post",unknown,6,EFTA00025420; EFTA00034275; EFTA00019798; EFTA00019348; EFTA00019790
Post Split,unknown,6,EFTA00025420; EFTA00036677; EFTA00034275; EFTA00019348; EFTA00019790
Relieved Officers,unknown,6,EFTA00025420; EFTA00025406; EFTA00034275; EFTA00019798; EFTA00019348
Relieved Officer,unknown,6,EFTA00025420; EFTA00025406; EFTA00034275; EFTA00019798; EFTA00019790
Shft Officer,unknown,6,EFTA00025420; EFTA00034275; EFTA00019798; EFTA00019348; EFTA00019790
Relieving Officers,unknown,6,EFTA00025420; EFTA00025406; EFTA00019798; EFTA00019348; EFTA00019790
Officer Now,unknown,6,EFTA00025420; EFTA00025406; EFTA00034275; EFTA00019798; EFTA00019790
Post Spit,unknown,6,EFTA00025420; EFTA00034275; EFTA00019798; EFTA00019348; EFTA00019790
Jeff Pagliuca cjpagliuca,unknown,6,EFTA00026872; EFTA00026890; EFTA00032669; EFTA00028183; EFTA00031332
Seagate Barracuda,unknown,6,EFTA00025431; EFTA00025433; EFTA00025429; EFTA00018586; EFTA00027963
Mark Stewart,unknown,6,EFTA00024708; EFTA00010410; EFTA00028106; EFTA00029535; EFTA00030757
Epstein Deposition,core,6,EFTA00023536; EFTA00023750; EFTA00016304; EFTA00016311; EFTA00019605
Jean James,unknown,6,EFTA00024009; EFTA00022173; EFTA00032300; EFTA00032299; EFTA00028332
Watch Call,unknown,6,EFTA00023768; EFTA00036628; EFTA00036911; EFTA00033545; EFTA00030777
All Counsel of Record,unknown,6,EFTA00024870; EFTA00025040; EFTA00022514; EFTA00020244; EFTA00010414
Clone Copy,unknown,6,EFTA00025433; EFTA00025429; EFTA00025416; EFTA00032102; EFTA00027963
"Mint
Walk",unknown,6,EFTA00026542; EFTA00017042; EFTA00019885; EFTA00030798; EFTA00030692
Boston Area,unknown,6,EFTA00025223; EFTA00036018; EFTA00035806; EFTA00035799; EFTA00035812
Tax Return,unknown,6,EFTA00026279; EFTA00025624; EFTA00019520; EFTA00032410; EFTA00010203
Treasury Department,unknown,6,EFTA00026279; EFTA00025171; EFTA00025624; EFTA00020368; EFTA00032932
Maple Inc,unknown,6,EFTA00026663; EFTA00037754; EFTA00037757; EFTA00017085; EFTA00030222
Federal Deposit,unknown,6,EFTA00026451; EFTA00016542; EFTA00032932; EFTA00011051; EFTA00010786
Nixon Peabody,unknown,6,EFTA00026451; EFTA00018654; EFTA00032454; EFTA00032906; EFTA00032410
Litigation Associate,unknown,6,EFTA00026451; EFTA00032583; EFTA00032913; EFTA00032556; EFTA00032454
Mart Stores,unknown,6,EFTA00026451; EFTA00032454; EFTA00032942; EFTA00032938; EFTA00032633
Honorable Alison,unknown,6,EFTA00024928; EFTA00021015; EFTA00018373; EFTA00017821; EFTA00030015
"Counsel
Office",unknown,6,EFTA00025398; EFTA00037964; EFTA00037968; EFTA00038268; EFTA00038158
Marc Weinstein,unknown,6,EFTA00026834; EFTA00023750; EFTA00018020; EFTA00018019; EFTA00032446
"Investigation
Start",unknown,6,EFTA00026581; EFTA00022627; EFTA00014588; EFTA00014587; EFTA00010290
Fiscal Year,unknown,6,EFTA00026939; EFTA00036099; EFTA00011051; EFTA00010724; EFTA00010786
Michael Cohen,unknown,6,EFTA00025171; EFTA00023938; EFTA00032577; EFTA00032623; EFTA00032589
"Normal
Will",unknown,6,EFTA00024828; EFTA00023709; EFTA00021300; EFTA00038561; EFTA00019549
"Office
This",unknown,6,EFTA00024500; EFTA00036748; EFTA00020664; EFTA00015954; EFTA00015956
"Joe Nascimento
Cc",unknown,6,EFTA00023869; EFTA00024684; EFTA00016405; EFTA00017978; EFTA00018758
Pro Hac,unknown,6,EFTA00025469; EFTA00022546; EFTA00023292; EFTA00021442; EFTA00015726
"Association
New",unknown,6,EFTA00025392; EFTA00021952; EFTA00032583; EFTA00032303; EFTA00032400
Cravath Swaine,unknown,6,EFTA00025392; EFTA00025231; EFTA00019088; EFTA00032932; EFTA00032341
Mental Health,unknown,6,EFTA00024760; EFTA00021952; EFTA00018300; EFTA00033825; EFTA00033520
American Psychological,unknown,6,EFTA00024760; EFTA00021952; EFTA00018300; EFTA00032448; EFTA00027398
Know About,unknown,6,EFTA00024760; EFTA00015646; EFTA00018174; EFTA00032562; EFTA00032976
Kathleen E. Cassidy,unknown,6,EFTA00023551; EFTA00024258; EFTA00026959; EFTA00023221; EFTA00019119
"Appellant
Ghislaine",unknown,6,EFTA00026826; EFTA00020971; EFTA00016306; EFTA00017873; EFTA00027356
"Parvin
Sent",unknown,6,EFTA00024410; EFTA00017064; EFTA00017795; EFTA00029805; EFTA00029885
"Arts
Attached",unknown,6,EFTA00025041; EFTA00023182; EFTA00029327; EFTA00028595; EFTA00028607
Aida Leisenrin,unknown,6,EFTA00026669; EFTA00016973; EFTA00015932; EFTA00015997; EFTA00020127
Invoice Date,unknown,6,EFTA00024636; EFTA00024648; EFTA00024613; EFTA00024627; EFTA00022855
Federal Express,unknown,6,EFTA00024636; EFTA00024648; EFTA00024613; EFTA00014177; EFTA00019047
Web Bio,unknown,6,EFTA00024932; EFTA00020825; EFTA00022435; EFTA00023258; EFTA00020852
Billing Address,unknown,6,EFTA00024648; EFTA00024613; EFTA00024627; EFTA00038329; EFTA00020310
Invoice Number,unknown,6,EFTA00024613; EFTA00024627; EFTA00022855; EFTA00020310; EFTA00027224
Shipping Address,unknown,6,EFTA00024613; EFTA00024627; EFTA00020310; EFTA00030958; EFTA00030852
Thursda October,unknown,6,EFTA00026481; EFTA00023258; EFTA00013499; EFTA00011135; EFTA00013503
Ann Lundberg,unknown,6,EFTA00023661; EFTA00016726; EFTA00016508; EFTA00018748; EFTA00032234
Joe Nascimento mailto,unknown,6,EFTA00026727; EFTA00020674; EFTA00021536; EFTA00014318; EFTA00014312
Adelphi Road,unknown,6,EFTA00024032; EFTA00023435; EFTA00023431; EFTA00023433; EFTA00015361
Government Information,unknown,6,EFTA00024032; EFTA00023435; EFTA00023431; EFTA00023433; EFTA00015361
Public Liaison,unknown,6,EFTA00024032; EFTA00023435; EFTA00023431; EFTA00023433; EFTA00015361
Dear Sir,unknown,6,EFTA00024032; EFTA00011531; EFTA00012111; EFTA00009676; EFTA00010620
"Okeechobee
Blvd",unknown,6,EFTA00024684; EFTA00021794; EFTA00017978; EFTA00017962; EFTA00009834
Bill Richardson,political,6,EFTA00024683; EFTA00022133; EFTA00014372; EFTA00014374; EFTA00032235
Personal Information,unknown,6,EFTA00024311; EFTA00024450; EFTA00018300; EFTA00033566; EFTA00010343
"Gloria Allred
To",attorney,6,EFTA00026532; EFTA00014339; EFTA00016237; EFTA00028804; EFTA00028550
"Interdiction
Office",unknown,6,EFTA00023930; EFTA00021290; EFTA00017905; EFTA00031397; EFTA00030980
Chief Public,unknown,6,EFTA00026626; EFTA00023405; EFTA00019648; EFTA00017830; EFTA00011048
"Normal
Good",unknown,6,EFTA00026635; EFTA00015589; EFTA00037976; EFTA00037981; EFTA00038124
When Epstein,core,6,EFTA00025109; EFTA00020762; EFTA00020729; EFTA00016124; EFTA00019609
Print Name,unknown,6,EFTA00023624; EFTA00021997; EFTA00034497; EFTA00035946; EFTA00033469
City Medical,unknown,6,EFTA00024007; EFTA00035012; EFTA00018899; EFTA00033699; EFTA00027154
The Subject,unknown,6,EFTA00024744; EFTA00037368; EFTA00038089; EFTA00020130; EFTA00029150
Subject Devices,unknown,6,EFTA00024744; EFTA00020527; EFTA00020130; EFTA00018586; EFTA00029150
"Epstein
Thank",core,6,EFTA00025082; EFTA00020627; EFTA00015634; EFTA00015632; EFTA00028434
Description Amount,unknown,6,EFTA00025624; EFTA00022407; EFTA00022367; EFTA00022377; EFTA00022383
"Normal
Can",unknown,6,EFTA00037486; EFTA00038458; EFTA00013961; EFTA00009881; EFTA00013758
Date Quarterly,unknown,6,EFTA00036396; EFTA00036338; EFTA00036395; EFTA00036349; EFTA00036397
Gender Status,unknown,6,EFTA00037601; EFTA00037586; EFTA00037621; EFTA00037596; EFTA00037587
May Concern,unknown,6,EFTA00037265; EFTA00037711; EFTA00021311; EFTA00035811; EFTA00019849
Final Call,unknown,6,EFTA00037411; EFTA00037412; EFTA00038032; EFTA00038313; EFTA00038033
Miami Brief,unknown,6,EFTA00037411; EFTA00037412; EFTA00038032; EFTA00038313; EFTA00038033
Comments Staff,unknown,6,EFTA00036598; EFTA00036582; EFTA00036587; EFTA00036585; EFTA00036584
Medical Department,unknown,6,EFTA00036598; EFTA00036582; EFTA00036587; EFTA00036585; EFTA00036584
Separation Information,unknown,6,EFTA00036598; EFTA00036582; EFTA00036587; EFTA00036585; EFTA00036584
"Medical
Date",unknown,6,EFTA00036598; EFTA00036582; EFTA00036587; EFTA00036585; EFTA00036584
"Director
Northeast",unknown,6,EFTA00036658; EFTA00036599; EFTA00035640; EFTA00034722; EFTA00035592
Supervisory Attorney,unknown,6,EFTA00036390; EFTA00036394; EFTA00023435; EFTA00023431; EFTA00023433
Tue Mar,unknown,6,EFTA00036979; EFTA00036978; EFTA00036981; EFTA00036980; EFTA00037747
Warranty Deed,unknown,6,EFTA00037752; EFTA00037750; EFTA00020959; EFTA00014367; EFTA00019200
Psychology Observation,unknown,6,EFTA00036667; EFTA00036081; EFTA00036080; EFTA00035116; EFTA00034741
Amazon Ref,unknown,6,EFTA00037744; EFTA00037711; EFTA00020920; EFTA00037945; EFTA00029580
"Normal
Embedded",unknown,6,EFTA00036363; EFTA00036568; EFTA00036662; EFTA00036579; EFTA00035351
Ghislaine Noelle,unknown,6,EFTA00037643; EFTA00037645; EFTA00037745; EFTA00017875; EFTA00010702
Armed Forces,unknown,6,EFTA00036883; EFTA00036884; EFTA00036880; EFTA00020934; EFTA00020935
Residential Reentry,unknown,6,EFTA00036883; EFTA00036884; EFTA00036880; EFTA00033486; EFTA00033520
Exec Assistant,unknown,6,EFTA00036293; EFTA00034376; EFTA00035459; EFTA00034221; EFTA00034116
Organized Crime,unknown,6,EFTA00037815; EFTA00014263; EFTA00014243; EFTA00018632; EFTA00013429
The Warden,unknown,6,EFTA00036376; EFTA00036635; EFTA00036447; EFTA00035815; EFTA00033486
Conference Call,unknown,6,EFTA00037504; EFTA00037501; EFTA00037502; EFTA00014169; EFTA00038178
Thursda Jul,unknown,6,EFTA00036985; EFTA00037193; EFTA00023042; EFTA00021791; EFTA00038005
Violent Crime,unknown,6,EFTA00037337; EFTA00037828; EFTA00037326; EFTA00016605; EFTA00013446
Subject Psych,unknown,6,EFTA00036661; EFTA00035224; EFTA00035223; EFTA00035454; EFTA00035070
Special Agen,unknown,6,EFTA00037835; EFTA00021758; EFTA00034115; EFTA00016324; EFTA00038983
Fri Dec,unknown,6,EFTA00037208; EFTA00037210; EFTA00037209; EFTA00032225; EFTA00013713
Departure Date,unknown,6,EFTA00037591; EFTA00037593; EFTA00023313; EFTA00010277; EFTA00027830
Darren K. Indyke,unknown,6,EFTA00037645; EFTA00015838; EFTA00017875; EFTA00010702; EFTA00027585
Lawrence Visoski,unknown,6,EFTA00037645; EFTA00022855; EFTA00017879; EFTA00017875; EFTA00009954
Type Number,unknown,6,EFTA00037421; EFTA00021191; EFTA00038502; EFTA00010075; EFTA00010083
Date Date,unknown,6,EFTA00036386; EFTA00020934; EFTA00020935; EFTA00015176; EFTA00033843
Direct Dial,unknown,6,EFTA00037067; EFTA00037509; EFTA00037939; EFTA00038425; EFTA00038453
Signature Date,unknown,6,EFTA00037061; EFTA00034760; EFTA00035394; EFTA00019520; EFTA00010203
Tony Ricco,unknown,6,EFTA00021766; EFTA00015932; EFTA00015994; EFTA00015997; EFTA00019900
Primary Query,unknown,6,EFTA00021186; EFTA00021190; EFTA00021185; EFTA00021181; EFTA00021187
Processing Result,unknown,6,EFTA00021186; EFTA00021190; EFTA00021185; EFTA00021181; EFTA00021187
Result Referred,unknown,6,EFTA00021186; EFTA00021190; EFTA00021185; EFTA00021181; EFTA00030344
"Rules
Fed",unknown,6,EFTA00021944; EFTA00011452; EFTA00029077; EFTA00029100; EFTA00028929
Hilton Garden,unknown,6,EFTA00021133; EFTA00021123; EFTA00021141; EFTA00023274; EFTA00014396
First Out,unknown,6,EFTA00022415; EFTA00022399; EFTA00022407; EFTA00022367; EFTA00022391
Branch Manager,unknown,6,EFTA00022415; EFTA00022399; EFTA00022423; EFTA00022407; EFTA00022377
Account Account,unknown,6,EFTA00022415; EFTA00022399; EFTA00022367; EFTA00022377; EFTA00022383
Cost Estimated,unknown,6,EFTA00022415; EFTA00022399; EFTA00022407; EFTA00022391; EFTA00022377
See Account,unknown,6,EFTA00022415; EFTA00022399; EFTA00022423; EFTA00022367; EFTA00022377
University School,unknown,6,EFTA00021952; EFTA00016268; EFTA00018300; EFTA00011026; EFTA00011025
Legislative Affairs,unknown,6,EFTA00021952; EFTA00023059; EFTA00018165; EFTA00011475; EFTA00013359
International Ltd,unknown,6,EFTA00022206; EFTA00032918; EFTA00011051; EFTA00010724; EFTA00010786
Management Account,unknown,6,EFTA00022399; EFTA00022423; EFTA00022391; EFTA00020596; EFTA00022377
Number Departure,unknown,6,EFTA00021190; EFTA00021189; EFTA00021181; EFTA00021182; EFTA00027830
Vital Statistics,unknown,6,EFTA00021323; EFTA00019697; EFTA00019324; EFTA00010111; EFTA00010105
"Thanks
Marty",unknown,6,EFTA00021635; EFTA00021662; EFTA00020766; EFTA00014607; EFTA00028423
Maxwell Link,accomplice,6,EFTA00022182; EFTA00014905; EFTA00015654; EFTA00016511; EFTA00010941
Private Wealth,unknown,6,EFTA00022423; EFTA00022365; EFTA00022391; EFTA00022377; EFTA00022364
Barbara Moses,unknown,6,EFTA00021303; EFTA00020130; EFTA00020134; EFTA00028485; EFTA00028523
Subject Premises,unknown,6,EFTA00021303; EFTA00016179; EFTA00020137; EFTA00020134; EFTA00018425
The International,unknown,6,EFTA00022793; EFTA00016542; EFTA00015356; EFTA00015353; EFTA00018300
Industrial Integrity,unknown,6,EFTA00022855; EFTA00021666; EFTA00022696; EFTA00023437; EFTA00022706
Conference Room,unknown,6,EFTA00020624; EFTA00016761; EFTA00019532; EFTA00019430; EFTA00019428
Fox News,unknown,6,EFTA00021202; EFTA00035791; EFTA00019402; EFTA00018632; EFTA00010955
Fifth Amendment,unknown,6,EFTA00021861; EFTA00022091; EFTA00014192; EFTA00020261; EFTA00011520
Epstein Account,core,6,EFTA00021664; EFTA00015030; EFTA00015137; EFTA00029172; EFTA00029200
Judge Moses,unknown,6,EFTA00021273; EFTA00018162; EFTA00029514; EFTA00029512; EFTA00028381
Maxwell Epstein,core,6,EFTA00022016; EFTA00015643; EFTA00016153; EFTA00029527; EFTA00030762
"Relativity
That",unknown,6,EFTA00020781; EFTA00020769; EFTA00020692; EFTA00010245; EFTA00010351
Total Amount,unknown,6,EFTA00022489; EFTA00015135; EFTA00014402; EFTA00038329; EFTA00027224
Assistant Attorney,unknown,6,EFTA00023059; EFTA00017107; EFTA00011475; EFTA00013359; EFTA00028103
Alexander Acosta,unknown,6,EFTA00020787; EFTA00018174; EFTA00032603; EFTA00013910; EFTA00014019
Substitute Counsel,unknown,6,EFTA00020972; EFTA00020956; EFTA00027867; EFTA00028088; EFTA00027869
"Epstein
Dear",core,6,EFTA00021745; EFTA00014028; EFTA00014150; EFTA00013708; EFTA00013758
Sabina Mariella,unknown,6,EFTA00021001; EFTA00011365; EFTA00027912; EFTA00027881; EFTA00027162
"Street
Brooklyn",unknown,6,EFTA00022320; EFTA00019059; EFTA00028163; EFTA00027711; EFTA00027268
Solicitors Journal,unknown,6,EFTA00023283; EFTA00038778; EFTA00038803; EFTA00038760; EFTA00029681
"Relativity
Hello",unknown,6,EFTA00020769; EFTA00020692; EFTA00010252; EFTA00010245; EFTA00010351
Voir Dire,unknown,6,EFTA00020622; EFTA00011095; EFTA00011135; EFTA00011113; EFTA00013430
Joint Proposed,unknown,6,EFTA00020622; EFTA00016714; EFTA00011095; EFTA00011135; EFTA00011113
Reply Brief,unknown,6,EFTA00023034; EFTA00014696; EFTA00013674; EFTA00009890; EFTA00013586
"Center
New",unknown,6,EFTA00020645; EFTA00035412; EFTA00034228; EFTA00034640; EFTA00034472
Possible Suicide,unknown,6,EFTA00020645; EFTA00034197; EFTA00035574; EFTA00034232; EFTA00034275
The Third,unknown,6,EFTA00022091; EFTA00020261; EFTA00032942; EFTA00032642; EFTA00032400
The Protective,unknown,6,EFTA00020541; EFTA00015303; EFTA00011452; EFTA00029077; EFTA00029951
Medical Assessment,unknown,6,EFTA00034167; EFTA00034488; EFTA00035377; EFTA00035470; EFTA00034703
Prison Road,unknown,6,EFTA00034821; EFTA00035040; EFTA00034686; EFTA00033635; EFTA00033634
Process Report,unknown,6,EFTA00034054; EFTA00034232; EFTA00034757; EFTA00034844; EFTA00035650
Institution Disciplinary,unknown,6,EFTA00034054; EFTA00034232; EFTA00034757; EFTA00034844; EFTA00035650
Lee Plourde,unknown,6,EFTA00035421; EFTA00035658; EFTA00034336; EFTA00034122; EFTA00019759
Electronic Mail,unknown,6,EFTA00035028; EFTA00034716; EFTA00034345; EFTA00034225; EFTA00033956
Town Driver,unknown,6,EFTA00034734; EFTA00034086; EFTA00034934; EFTA00035695; EFTA00033444
Emergency Code,unknown,6,EFTA00035502; EFTA00035007; EFTA00035010; EFTA00035180; EFTA00034558
Photo August,unknown,6,EFTA00036069; EFTA00036073; EFTA00036077; EFTA00036071; EFTA00036075
"South
Photograph",unknown,6,EFTA00036069; EFTA00036073; EFTA00036077; EFTA00036071; EFTA00036075
Incident August,unknown,6,EFTA00036069; EFTA00036073; EFTA00036077; EFTA00036071; EFTA00036075
Incident Suicide,unknown,6,EFTA00036069; EFTA00036073; EFTA00036077; EFTA00036071; EFTA00036075
"Fire
Watch",unknown,6,EFTA00034860; EFTA00035695; EFTA00033450; EFTA00033447; EFTA00033444
"Metropolitan
Correctional",unknown,6,EFTA00034232; EFTA00035211; EFTA00035800; EFTA00015361; EFTA00033860
Number I Reason,unknown,6,EFTA00034806; EFTA00034674; EFTA00033607; EFTA00033693; EFTA00033422
Bed Book,unknown,6,EFTA00035872; EFTA00034569; EFTA00035848; EFTA00033545; EFTA00033469
Physician Assistant,unknown,6,EFTA00034488; EFTA00035377; EFTA00036037; EFTA00035330; EFTA00035470
Medical Emergency,unknown,6,EFTA00035013; EFTA00035356; EFTA00034065; EFTA00035011; EFTA00035014
Inmate Work,unknown,6,EFTA00035034; EFTA00035881; EFTA00035907; EFTA00035848; EFTA00035629
Aida Ferrer,unknown,6,EFTA00034725; EFTA00016403; EFTA00016907; EFTA00016904; EFTA00016401
Date Watch,unknown,6,EFTA00034424; EFTA00033886; EFTA00033875; EFTA00033958; EFTA00033867
Professional Excellence,unknown,6,EFTA00016449; EFTA00016220; EFTA00014339; EFTA00016237; EFTA00019719
Records Withheld,unknown,6,EFTA00015438; EFTA00015361; EFTA00015517; EFTA00015493; EFTA00031018
Nicholas Tartaglione,unknown,6,EFTA00015438; EFTA00016763; EFTA00016124; EFTA00019402; EFTA00034035
Stan Pottinger,unknown,6,EFTA00014499; EFTA00029100; EFTA00028482; EFTA00028929; EFTA00031827
Best Lawyers,unknown,6,EFTA00017101; EFTA00014339; EFTA00014357; EFTA00019719; EFTA00028779
Married Lawrence,unknown,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
Anne Holve,unknown,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
Philip Maxwell,accomplice,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
Ian Maxwell,accomplice,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
Karine Maxwell,accomplice,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
Michael Maxwell,accomplice,6,EFTA00014393; EFTA00016394; EFTA00017736; EFTA00038136; EFTA00019413
"Tartaglione
Date",unknown,6,EFTA00015932; EFTA00015994; EFTA00015997; EFTA00030552; EFTA00031410
Peer Rated,unknown,6,EFTA00016220; EFTA00014339; EFTA00016237; EFTA00038168; EFTA00019719
Falls Church,unknown,6,EFTA00015280; EFTA00019137; EFTA00013202; EFTA00013205; EFTA00029487
Discovery Analyst,unknown,6,EFTA00015280; EFTA00019137; EFTA00013202; EFTA00013205; EFTA00029487
Roger Stone,unknown,6,EFTA00014263; EFTA00014243; EFTA00032932; EFTA00032341; EFTA00032942
Chief Counsel,unknown,6,EFTA00014460; EFTA00038270; EFTA00010577; EFTA00010819; EFTA00028680
Stock Market,unknown,6,EFTA00015194; EFTA00019148; EFTA00010305; EFTA00011084; EFTA00009904
"Hello
From",unknown,6,EFTA00038820; EFTA00038792; EFTA00038747; EFTA00038790; EFTA00038816
Maxwell Finances,accomplice,6,EFTA00038519; EFTA00038522; EFTA00038521; EFTA00038592; EFTA00038517
Deputy Chief,unknown,6,EFTA00018132; EFTA00018131; EFTA00010130; EFTA00010132; EFTA00010129
"Privacy
Notice",unknown,6,EFTA00018119; EFTA00018136; EFTA00018110; EFTA00032712; EFTA00029252
